add,bath,bed,car,desc,features,headline,id,lat,lon,photo,postcode,price,street,suburb,type,url,url2,date,min_price,max_price
"401/11 Hassall Street, Parramatta",2.0,2.0,1,"<b></b><br />It is a landmark Residential tower in the heart of Parramatta. The Skyrise is the second tallest tower in the Parramatta CBD.
Situated less than 300 metres to all CBD amenities including Parramatta railway station, Parramatta Square, bus i...","['BuiltInWardrobes', 'Ensuite', 'Gas', 'InternalLaundry', 'NorthFacing', 'Intercom']",Premium north facing  2beds apartment in landmark Building in parramatta,2016297698.0,-33.81812,151.00827,https://bucket-api.domain.com.au/v1/bucket/image/2016297698_8_1_200605_013514-w1179-h630,2150,Contact Agent,Hassall Street,PARRAMATTA,ApartmentUnitFlat,https://www.domain.com.au/401-11-hassall-street--parramatta-2150-2016297698,https://www.domain.com.au/401-11-hassall-street-parramatta-nsw-2150-2016297698,2021-07-10,,
"18/346 Church Street, Parramatta",2.0,2.0,1,"<b></b><br />An exceptional opportunity to secure this 2 bedroom apartment situated in a highly sought-after security executive complex ""Museum Gardens"", positioned on the vibrant riverbank within a short stroll to Rivercat ferry, railway station, bus ...","['Ensuite', 'Gas', 'SwimmingPool', 'Gym', 'Dishwasher']",Stunning River Views,2017085670.0,-33.8104324,151.005249,https://bucket-api.domain.com.au/v1/bucket/image/2017085670_1_1_210621_113858-w4500-h3000,2150,Contact Agent,Church Street,PARRAMATTA,ApartmentUnitFlat,https://www.domain.com.au/18-346-church-street--parramatta-2150-2017085670,https://www.domain.com.au/18-346-church-street-parramatta-nsw-2150-2017085670,2021-07-10,,
"9 9 Hassall Street, Parramatta",2.0,2.0,1,"<b></b><br />It is a brand new apartment  which located in the heart of Parramatta CBD, this mordern apartment has two good size bedrooms and stunning views. Enjoying a wonderful lifestyle and  benefits of CBD location. It is an affordable living choic...",[],"brand new apartment  which located in the heart of Parramatta CBD,",2017080532.0,-33.8182755,151.008041,https://bucket-api.domain.com.au/v1/bucket/image/2017080532_1_1_210618_032601-w1080-h1440,2150,contact agent,9 Hassall Street,PARRAMATTA,ApartmentUnitFlat,https://www.domain.com.au/9-9-hassall-street--parramatta-2150-2017080532,https://www.domain.com.au/9-9-hassall-street-parramatta-nsw-2150-2017080532,2021-07-10,,
"5/74 Pemberton Street, Parramatta",2.0,3.0,1,"<b></b><br />Inspections by appointment only. Please contact our friendly sales team to book a suitable time. Strictly 1 person at a time and please wear your mask.

Spanning a generous 173m2 (approx) of living space, this modern dual level townhouse...","['AirConditioning', 'BuiltInWardrobes', 'Ensuite', 'Gas', 'InternalLaundry', 'SecureParking', 'Dishwasher']",DOUBLE BRICK TOWNHOUSE IN RIVERBANK LOCATION,2017076766.0,-33.80789,151.021149,https://bucket-api.domain.com.au/v1/bucket/image/2017076766_1_1_210617_013018-w1920-h1280,2150,Auction - Unless Sold Prior,Pemberton Street,PARRAMATTA,Townhouse,https://www.domain.com.au/5-74-pemberton-street--parramatta-2150-2017076766,https://www.domain.com.au/5-74-pemberton-street-parramatta-nsw-2150-2017076766,2021-07-10,,
Parramatta,2.0,2.0,1,"<b></b><br />WE HAVE MULTIPLE PROPERTIES AVAILABLE IN THE ABOVE PRICE RANGE.
CONTACT AGENT.

This brand new apartment in the center of Parramatta comprises premium inclusions along with state of the art finishings. With the new light rail station at yo...","['AirConditioning', 'BuiltInWardrobes', 'Ensuite', 'SwimmingPool', 'WaterViews', 'CityViews', 'Gym', 'AlarmSystem', 'Intercom', 'Heating']",Pinnacle of Luxury in the heart of Parramatta!,2017070506.0,-33.8135567,151.0034,https://bucket-api.domain.com.au/v1/bucket/image/2017070506_1_1_210615_025039-w5000-h2813,2150,"$785,000 - $995,000",,PARRAMATTA,ApartmentUnitFlat,https://www.domain.com.au/parramatta-2150-2017070506,https://www.domain.com.au/parramatta-nsw-2150-2017070506,2021-07-10,785000.0,995000.0
Parramatta,2.0,3.0,1,"<b></b><br />This spacious three bed room townhouse sits at 165 square meter unit and is easily adaptable to a 4 bedroom should you choose so. 

Situated amongst a quiet complex of 12 others and surrounded by parkland, you could hardly believe that you...","['AirConditioning', 'Floorboards', 'Gas', 'InternalLaundry', 'SecureParking']",Ready to move into,2017068061.0,-33.8135567,151.0034,https://bucket-api.domain.com.au/v1/bucket/image/2016880044_1_1_210406_091933-w1920-h1367,2150,$800k Commence Bidding,,PARRAMATTA,Townhouse,https://www.domain.com.au/parramatta-2150-2017068061,https://www.domain.com.au/parramatta-nsw-2150-2017068061,2021-07-10,,
"810/45 Macquarie Street, Parramatta",2.0,2.0,1,"<b></b><br />Embracing panoramic east facing views, this generous apartment is located on the 8th floor of the coveted 'V by Crown' complex. It offers luxurious resort style living in the heart of Parramatta, a stroll from Westfield, eateries and the t...","['AirConditioning', 'BuiltInWardrobes', 'Ensuite', 'Gas', 'PetsAllowed', 'SwimmingPool', 'Gym', 'Intercom', 'Bath']",Luxurious two bedroom apartment with panoramic views,2017056668.0,-33.81484,151.001251,https://bucket-api.domain.com.au/v1/bucket/image/2017056668_1_1_210608_025055-w1600-h1200,2150,"Price Guide $780,000",Macquarie Street,PARRAMATTA,ApartmentUnitFlat,https://www.domain.com.au/810-45-macquarie-street--parramatta-2150-2017056668,https://www.domain.com.au/810-45-macquarie-street-parramatta-nsw-2150-2017056668,2021-07-10,780000.0,780000.0
Parramatta,2.0,2.0,1,"<b></b><br />The 67 level glass tower is the tallest riverfront building ever to grace Parramatta's skies offering panoramic views from almost every apartment.
The Parramatta free shuttle bus service is located on your doorstep and the upgraded Parrama...","['AirConditioning', 'BuiltInWardrobes', 'CableOrSatellite', 'Ensuite', 'Gas', 'SecureParking', 'AlarmSystem', 'Intercom', 'Bath', 'Dishwasher', 'Study']","PARRAMATTA'S TALLEST RIVERFRONT TOWER!!
FOR SALES!!!",2016912226.0,-33.8135567,151.0034,https://bucket-api.domain.com.au/v1/bucket/image/2017047155_2_1_210602_065910-w1375-h499,2150,"$663,000 - $1,232,000",,PARRAMATTA,NewApartments,https://www.domain.com.au/parramatta-2150-2016912226,https://www.domain.com.au/parramatta-nsw-2150-2016912226,2021-07-10,663000.0,1232000.0
"203/6 River Rd West, Parramatta",2.0,2.0,1,<b></b><br />Riviera apartments are located in a unique waterside location right on the banks of the Parramatta River. The complex provides a resort style living environment. You will love the apartment's stylish interior design along with the natural ...,"['AirConditioning', 'BuiltInWardrobes', 'Ensuite', 'Gas', 'Intercom', 'Dishwasher']",Modern 2 Bedroom Apartment with Massive Balcony,2017047721.0,-33.81647,151.018967,https://bucket-api.domain.com.au/v1/bucket/image/2015497329_1_1_190801_075213-w960-h640,2150,"PRICE GUIDE $650,000 To $670,000",203/6 River Rd West,PARRAMATTA,ApartmentUnitFlat,https://www.domain.com.au/203-6-river-rd-west--parramatta-2150-2017047721,https://www.domain.com.au/203-6-river-rd-west-parramatta-nsw-2150-2017047721,2021-07-10,650000.0,670000.0
Parramatta,2.0,2.0,1,"<b></b><br />The 67 level glass tower is the tallest riverfront building ever to grace Parramatta's skies offering panoramic views from almost every apartment.
The Parramatta free shuttle bus service is located on your doorstep and the upgraded Parrama...","['AirConditioning', 'BuiltInWardrobes', 'CableOrSatellite', 'Ensuite', 'Gas', 'SecureParking', 'AlarmSystem', 'Intercom', 'Bath', 'Dishwasher', 'Study']","PARRAMATTA'S TALLEST RIVERFRONT TOWER!!
FOR SALES!!!",2017047155.0,-33.8135567,151.0034,https://bucket-api.domain.com.au/v1/bucket/image/2017047155_1_1_210602_065910-w4134-h2760,2150,"$663,000 - $1,232,000",,PARRAMATTA,ApartmentUnitFlat,https://www.domain.com.au/parramatta-2150-2017047155,https://www.domain.com.au/parramatta-nsw-2150-2017047155,2021-07-10,663000.0,1232000.0
"1601/88 Church Street, Parramatta",2.0,2.0,1,"<b></b><br />Raising the benchmark for luxury living, this apartment is designed to optimize space and comfort. It is set in the ultra-convenient 'West Village' complex. Situated only moments to transport, Westfield Shopping Centre and a host of trendy...","['AirConditioning', 'BuiltInWardrobes', 'Ensuite', 'Floorboards', 'InternalLaundry', 'CityViews', 'Intercom', 'BroadbandInternetAccess', 'Heating', 'Dishwasher', 'Study', 'DoubleGlazedWindows', 'BalconyDeck']",Just Listed Luxury Two Bedrooms plus Study in Parramatta CBD,2017044857.0,-33.8197975,151.004211,https://bucket-api.domain.com.au/v1/bucket/image/2017044857_1_1_210601_124808-w1000-h563,2150,Contact Agent,Church Street,PARRAMATTA,ApartmentUnitFlat,https://www.domain.com.au/1601-88-church-street--parramatta-2150-2017044857,https://www.domain.com.au/1601-88-church-street-parramatta-nsw-2150-2017044857,2021-07-10,,
"801/118 Church Street, Parramatta",2.0,2.0,1,"<b></b><br />Enjoy a panoramic outlook from the balcony of this modern apartment set on the eighth floor of a sought-after residential complex. It is ideally located in the thriving heart of bustling Parramatta CBD, walking distance to all major amenit...","['BuiltInWardrobes', 'Ensuite', 'Intercom', 'Dishwasher']",Contemporary living right in the heart of the CBD,2017042214.0,-33.81856,151.00412,https://bucket-api.domain.com.au/v1/bucket/image/2017042214_1_1_210531_061437-w1600-h1200,2150,Contact Agent,Church Street,PARRAMATTA,ApartmentUnitFlat,https://www.domain.com.au/801-118-church-street--parramatta-2150-2017042214,https://www.domain.com.au/801-118-church-street-parramatta-nsw-2150-2017042214,2021-07-10,,
"1407/88 Church Street, Parramatta",2.0,2.0,1,"<b></b><br />Developed by Ecoworld and built by Park View. Homeowners and investors, who are looking for executive lifestyle home/investment should not miss this opportunity. The new apartments are located at the perfect city CBD location with walking ...","['AirConditioning', 'BuiltInWardrobes', 'Ensuite', 'Floorboards', 'Gas', 'InternalLaundry', 'PetsAllowed', 'GroundFloor', 'Intercom', 'BroadbandInternetAccess', 'Bath', 'Heating', 'Dishwasher', 'DoubleGlazedWindows', 'EnergyEfficientAppliances', 'WaterEfficientAppliances']",Brand New Oversized 2-Bed Apartment in Parramatta CBD,2017038689.0,-33.8197975,151.004211,https://bucket-api.domain.com.au/v1/bucket/image/2016960964_1_1_210523_105130-w1920-h1280,2150,Contact Agent,Church Street,PARRAMATTA,ApartmentUnitFlat,https://www.domain.com.au/1407-88-church-street--parramatta-2150-2017038689,https://www.domain.com.au/1407-88-church-street-parramatta-nsw-2150-2017038689,2021-07-10,,
"1601/88 Church Street, Parramatta",2.0,2.0,1,"<b></b><br />Centrally located in Parramatta, this newly built apartment comes with a study room and a large size balcony facing the Church Street. Just about 5 minute walk to Parramatta Train Station and Westfield shopping centre. This building is a p...","['AirConditioning', 'BuiltInWardrobes', 'Ensuite', 'Floorboards', 'Gas', 'InternalLaundry', 'PetsAllowed', 'SecureParking', 'GroundFloor', 'Intercom', 'BroadbandInternetAccess', 'Bath', 'Heating', 'Dishwasher', 'Study', 'BalconyDeck']","Motivated Vendor, Must Sell!",2017037549.0,-33.8197975,151.004211,https://bucket-api.domain.com.au/v1/bucket/image/2016484824_14_1_200909_083139-w800-h600,2150,"Motivated Vendor, Contact Agent",Church Street,PARRAMATTA,ApartmentUnitFlat,https://www.domain.com.au/1601-88-church-street--parramatta-2150-2017037549,https://www.domain.com.au/1601-88-church-street-parramatta-nsw-2150-2017037549,2021-07-10,,
"Lv19/23 Hassall Street, Parramatta",2.0,2.0,1,"<b></b><br />BRAND NEW AND READY TO MOVE IN APARTMENT IN ULTRA CONVENIENT LOCATION WALKING DISTANCE TO PARRAMATTA SQUARE AND ALL VIBRANT RESTAURANTS 

Please Call on 0410 272 579 for a private inspection 

2bedroom 
2bathroom 
1carpark 
99sqm total

En...","['AirConditioning', 'BuiltInWardrobes', 'Ensuite', 'Gas', 'Dishwasher']",Amazing Opportunity for first homebuyer! Great Price and location,2017017558.0,-33.81836,151.014236,https://bucket-api.domain.com.au/v1/bucket/image/2017017558_1_1_210519_094704-w1600-h1067,2150,Just Listed! AFFORDABLE LUXURY,Hassall Street,PARRAMATTA,ApartmentUnitFlat,https://www.domain.com.au/lv19-23-hassall-street--parramatta-2150-2017017558,https://www.domain.com.au/lv19-23-hassall-street-parramatta-nsw-2150-2017017558,2021-07-10,,
"2703/11 Hassall Street, Parramatta",2.0,2.0,1,"<b></b><br />The nearly new apartment on 27th level, with panoramic views of Parramatta CBD and surrounding skyline, offers a luxurious lifestyle in the heart of Parramatta; it presents a rare opportunity for owner-occupant to secure an enviable modern...","['AirConditioning', 'BuiltInWardrobes', 'Ensuite', 'InternalLaundry', 'CityViews', 'Gym', 'AlarmSystem', 'Intercom', 'Dishwasher']","Wonderful nearly new 2 bedroom 2 Bath +1 parking with PANORAMIC WATER AND CITY VIEW for sale IN THE HEART OF PARRAMATTA ""SKYRISE""",2017015873.0,-33.81812,151.00827,https://bucket-api.domain.com.au/v1/bucket/image/2017015873_1_1_210519_035848-w1200-h800,2150,Price Guide $760K - $790K,Hassall Street,PARRAMATTA,ApartmentUnitFlat,https://www.domain.com.au/2703-11-hassall-street--parramatta-2150-2017015873,https://www.domain.com.au/2703-11-hassall-street-parramatta-nsw-2150-2017015873,2021-07-10,,
"49/21 Sorrell  Street, Parramatta",2.0,3.0,1,"<b></b><br />Meticulously Refurbished Three Bedroom Unit + Storage cage 
This three-bedroom apartment features bright interiors and a spacious open plan with a dual aspect. The living and dining room lead through to the modern kitchen and down the hall...","['AirConditioning', 'BuiltInWardrobes', 'Ensuite', 'Bath']",LARGE APARTMENT 121 SQM2  WITH TWO BALCONIES,2017001806.0,-33.8092,151.006683,https://bucket-api.domain.com.au/v1/bucket/image/2017001806_1_1_210512_105143-w1499-h1000,2150,"$759,000",Sorrell  Street,PARRAMATTA,ApartmentUnitFlat,https://www.domain.com.au/49-21-sorrell--street--parramatta-2150-2017001806,https://www.domain.com.au/49-21-sorrell-street-parramatta-nsw-2150-2017001806,2021-07-10,759000.0,759000.0
"1309/45 Macquarie Street, Parramatta",2.0,2.0,1,"<b></b><br />*** COVID RESTRICTIONS ***
*** From 28/06/2021 to 09/07/2021
*** Inspection by appointment only! ***
*** 
*** Please book in with Leon on 0410 538 011
*** or Jim on 0455671 314
*** 
*** Wearing a face mask is mandatory throughout th...","['AirConditioning', 'BuiltInWardrobes', 'Ensuite', 'Gas', 'InternalLaundry', 'SecureParking', 'SwimmingPool', 'Gym', 'AlarmSystem', 'Intercom', 'BroadbandInternetAccess', 'Bath', 'Dishwasher']",Two-bedroom apartment in the heart of Parramatta CBD for sale!,2017000342.0,-33.81484,151.001251,https://bucket-api.domain.com.au/v1/bucket/image/2017000342_1_1_210512_051532-w1086-h724,2150,Contact Agent for Price,Macquarie Street,PARRAMATTA,ApartmentUnitFlat,https://www.domain.com.au/1309-45-macquarie-street--parramatta-2150-2017000342,https://www.domain.com.au/1309-45-macquarie-street-parramatta-nsw-2150-2017000342,2021-07-10,,
"U603/88 Church St, Parramatta",2.0,2.0,1,"<b></b><br />There is a modern & luxury living: 'West Village'. Situated at the very heart of Parramatta, this two bedroom apartment offers the best location and best convenience to its residents. 

Main features:
- Only 200 meters from the modern P...","['AirConditioning', 'BuiltInWardrobes', 'Floorboards', 'Gas', 'InternalLaundry', 'SecureParking', 'AlarmSystem', 'Intercom', 'Dishwasher', 'BalconyDeck']",Brand new 2 bedroom apartment in the heart of the Parramatta,2016979792.0,-33.8197975,151.004211,https://bucket-api.domain.com.au/v1/bucket/image/2016931436_7_1_210413_053941-w936-h702,2150,Last Lucky Price Calling First Home Buyer,Church St,PARRAMATTA,ApartmentUnitFlat,https://www.domain.com.au/u603-88-church-st--parramatta-2150-2016979792,https://www.domain.com.au/u603-88-church-st-parramatta-nsw-2150-2016979792,2021-07-10,,
"3501/11 Hassall Street, Parramatta",2.0,2.0,1,"<b></b><br />In the heart of Parramatta, with magnificent views over the city, this is your perfect executive pad in the ""Skyrise"" tower. This stylish apartment has two large bedrooms, and an open-plan living/ dining/ kitchen which leads through huge f...","['AirConditioning', 'BuiltInWardrobes', 'Ensuite', 'Gas', 'CityViews', 'Gym', 'Heating', 'Dishwasher']",Stunning views and living space,2016968852.0,-33.81812,151.00827,https://bucket-api.domain.com.au/v1/bucket/image/2016968852_1_1_210428_070648-w1200-h800,2150,Call to book private inspection,Hassall Street,PARRAMATTA,ApartmentUnitFlat,https://www.domain.com.au/3501-11-hassall-street--parramatta-2150-2016968852,https://www.domain.com.au/3501-11-hassall-street-parramatta-nsw-2150-2016968852,2021-07-10,,
"4/55 Rosehill Street, Parramatta",2.0,3.0,2,"<b></b><br />Enviably positioned within the boutique 'Mia' complex and featuring luxury inclusions throughout, this master-built townhouse is moments from the vibrant Parramatta CBD entertainment precinct, train station, bus stops, Westfield Shoppingto...","['BuiltInWardrobes', 'Ensuite', 'Gas', 'InternalLaundry', 'SecureParking', 'Bath', 'Study']",Tri-level Townhouse,2016966053.0,-33.824398,151.00116,https://bucket-api.domain.com.au/v1/bucket/image/2016966053_1_1_210428_122153-w4500-h3000,2150,"$850,000-$900,000",Rosehill Street,PARRAMATTA,Townhouse,https://www.domain.com.au/4-55-rosehill-street--parramatta-2150-2016966053,https://www.domain.com.au/4-55-rosehill-street-parramatta-nsw-2150-2016966053,2021-07-10,,
"202/6-10 Charles St, Parramatta",2.0,3.0,1,"<b></b><br />This three bedroom apartment is located in Parramatta hot spot close to the train station, cafes, bars and restaurants on 'Eat Street' and Westfield Shopping Centre.


Approx 7 minutes' walk to train stations and Parramatta Westfield.


So...","['BuiltInWardrobes', 'Ensuite', 'Gas', 'InternalLaundry', 'Intercom', 'Dishwasher']",ATTENTION  FIRST HOME BUYERS OR INVESTORS SEEKING GREAT RETURNS!,2016962534.0,-33.8135567,151.0034,https://bucket-api.domain.com.au/v1/bucket/image/2015850925_1_1_191106_065129-w960-h640,2150,"PRICE GUIDE $670,000",202/6-10 Charles St,PARRAMATTA,ApartmentUnitFlat,https://www.domain.com.au/202-6-10-charles-st--parramatta-2150-2016962534,https://www.domain.com.au/202-6-10-charles-st-parramatta-nsw-2150-2016962534,2021-07-10,670000.0,670000.0
"21 Hassall Street, Parramatta",2.0,2.0,1,"<b></b><br />This large 2 bedroom apartment in a vibrant boutique building - The Matrix, sitting in very central of one of Sydney's major CBD -- Parramatta, features everything you would expect for urban living. The Matrix is designed by world-renowned...","['AirConditioning', 'BuiltInWardrobes', 'Ensuite', 'Floorboards', 'SecureParking', 'Intercom', 'BroadbandInternetAccess', 'Dishwasher', 'BalconyDeck']",Large 2 Bedroom in a vibrant boutique building in Parramatta CBD,2016958299.0,-33.81798,151.0094,https://bucket-api.domain.com.au/v1/bucket/image/2016958299_1_1_210423_041039-w935-h900,2150,"$720,000",Hassall Street,PARRAMATTA,ApartmentUnitFlat,https://www.domain.com.au/21-hassall-street--parramatta-2150-2016958299,https://www.domain.com.au/21-hassall-street-parramatta-nsw-2150-2016958299,2021-07-10,720000.0,720000.0
"G2/38-40 Macarthur St, Parramatta",2.0,2.0,1,<b></b><br />This sensational near new two bedroom apartment offers communal gardens and a sunny dual aspect. Its free flowing interior presents a separate living and dining room with a modern gas kitchen with breakfast bar at one end and a large paved...,"['AirConditioning', 'BuiltInWardrobes', 'Gas', 'Intercom']",Total 122sqm Spacious Ground Floor Apartment,2016916353.0,-33.8123169,151.0141,https://bucket-api.domain.com.au/v1/bucket/image/2016916353_1_1_210622_063257-w800-h600,2150,"$600,000 - $650,000",Macarthur St,PARRAMATTA,ApartmentUnitFlat,https://www.domain.com.au/g2-38-40-macarthur-st--parramatta-2150-2016916353,https://www.domain.com.au/g2-38-40-macarthur-st-parramatta-nsw-2150-2016916353,2021-07-10,600000.0,650000.0
